player_id,game_id,game_date,team_id,opponent_id,season,is_home,pts_avg_L5,pts_avg_L10,pts_std_L5,pts_std_L10,pts_avg_season,reb_avg_L5,reb_avg_L10,reb_std_L5,reb_std_L10,reb_avg_season,ast_avg_L5,ast_avg_L10,ast_std_L5,ast_std_L10,ast_avg_season,fg3m_avg_L5,fg3m_avg_L10,fg3m_std_L5,fg3m_std_L10,fg3m_avg_season,min_avg_L5,min_avg_L10,min_avg_season,pts_avg_home,pts_avg_away,reb_avg_home,reb_avg_away,ast_avg_home,ast_avg_away,opp_pts_allowed_avg,opp_reb_allowed_avg,opp_ast_allowed_avg,opp_fg3m_allowed_avg,days_rest,is_back_to_back,is_home,games_played_season,injury_severity,pace_L5
1642377,0022400238,2024-11-17,1610612763,1610612743,2024-25,1,14.4,12.9,4.39317652729776,4.332051092342595,11.538461538461538,2.6,3.7,1.51657508881031,2.1628170930011112,3.3076923076923075,1.4,1.9,0.5477225575051664,0.9944289260117533,1.6923076923076923,2.0,1.8,1.8708286933869707,1.4757295747452437,1.6923076923076923,26.23,27.642000000000003,26.043076923076924,12.333333333333334,10.0,3.1666666666666665,3.3333333333333335,1.8333333333333333,1.5,117.9,43.5,30.5,14.3,1.0,0,1,13,0,107.17999999999999
1642377,0022400023,2024-11-19,1610612763,1610612743,2024-25,1,13.4,13.3,3.209361307176243,4.321779468896785,11.785714285714286,2.2,3.2,1.6431676725154984,2.1499353995462798,3.142857142857143,1.2,1.7,0.8366600265340758,1.1595018087284057,1.5714285714285714,1.4,1.9,0.8944271909999159,1.449137674618944,1.7142857142857142,25.827999999999996,28.502,26.041428571428572,12.714285714285714,10.0,2.857142857142857,3.3333333333333335,1.5714285714285714,1.5,117.5,43.6,30.6,14.4,1.0,0,1,14,0,106.054
1642377,0022400255,2024-11-20,1610612763,1610612755,2024-25,1,12.8,13.2,3.9623225512317903,4.442221666388715,11.533333333333333,2.8,3.4,1.0954451150103321,2.0110804171997807,3.1333333333333333,1.4,1.5,0.8944271909999162,0.8498365855987975,1.6,1.4,1.8,0.8944271909999159,1.4757295747452437,1.6666666666666667,24.718,28.134999999999998,25.592,12.125,10.0,2.875,3.3333333333333335,1.625,1.5,110.7,45.7,25.6,12.9,0.0,1,1,15,0,107.852
1642377,0022400266,2024-11-23,1610612763,1610612741,2024-25,0,12.4,13.0,3.6469165057620945,4.346134936801765,11.6875,2.6,2.9,1.140175425099138,1.5951314818673863,3.0625,1.4,1.5,0.8944271909999162,0.8498365855987975,1.5625,1.4,1.7,0.8944271909999159,1.4181364924121764,1.6875,25.844,27.512999999999998,25.83,12.125,10.857142857142858,2.875,3.4285714285714284,1.625,1.5714285714285714,125.2,45.0,30.6,13.6,2.0,0,0,16,0,104.54400000000001
1642377,0022400282,2024-11-25,1610612763,1610612757,2024-25,1,15.8,14.1,6.496152707564686,5.989806155275626,12.529411764705882,2.8,2.8,1.3038404810405297,1.4757295747452435,3.1176470588235294,2.2,1.9,2.280350850198276,1.66332999331662,1.8235294117647058,2.6,2.1,1.9493588689617927,1.9692073983655907,1.9411764705882353,26.714,27.052,26.170588235294115,12.333333333333334,10.857142857142858,2.7777777777777777,3.4285714285714284,1.5555555555555556,1.5714285714285714,111.8,43.9,25.9,12.7,1.0,0,1,17,0,104.772
1642377,0022400293,2024-11-27,1610612763,1610612765,2024-25,1,13.6,14.0,8.080841540334768,6.146362971528592,12.11111111111111,2.8,2.7,1.3038404810405297,1.3374935098492584,3.1666666666666665,2.0,1.7,2.345207879911715,1.636391694484477,1.7777777777777777,2.4,2.2,2.073644135332772,1.8737959096740264,1.8888888888888888,24.451999999999998,25.341,25.60111111111111,11.6,10.857142857142858,2.9,3.4285714285714284,1.5,1.5714285714285714,112.5,46.2,24.4,13.9,1.0,0,1,18,0,103.06400000000001
1642377,0022400042,2024-11-29,1610612763,1610612740,2024-25,1,13.2,13.3,8.043631020876083,5.774464862170732,12.157894736842104,3.0,2.6,1.0,1.3498971154211057,3.1052631578947367,2.6,1.9,2.0736441353327724,1.66332999331662,1.8421052631578947,2.6,2.0,2.073644135332772,1.6329931618554525,1.9473684210526316,24.038,24.933,25.51421052631579,11.727272727272727,10.857142857142858,2.8181818181818183,3.4285714285714284,1.6363636363636365,1.5714285714285714,113.1,44.6,27.2,14.6,1.0,0,1,19,0,105.00399999999999
1642377,0022400306,2024-12-01,1610612763,1610612754,2024-25,1,14.2,13.5,7.52994023880668,5.720334100576838,12.2,3.6,3.2,1.6733200530681511,1.3984117975602022,3.25,2.8,2.1,2.04939015319192,1.66332999331662,1.9,2.8,2.1,1.9235384061671346,1.595131481867387,1.95,24.552,24.634999999999998,25.332,11.833333333333334,10.857142857142858,3.0833333333333335,3.4285714285714284,1.75,1.5714285714285714,117.4,42.8,28.4,14.4,1.0,0,1,20,0,105.07000000000001
1642377,0022400056,2024-12-03,1610612763,1610612742,2024-25,0,14.0,13.2,7.54983443527075,5.65292451352002,12.238095238095237,4.4,3.5,1.6733200530681511,1.649915822768611,3.380952380952381,2.8,2.1,2.04939015319192,1.66332999331662,1.8571428571428572,3.0,2.2,1.8708286933869707,1.619327706865483,2.0,23.806,24.825,25.348095238095237,11.833333333333334,12.75,3.0833333333333335,3.5,1.75,2.125,111.9,41.4,25.5,12.1,1.0,0,0,21,0,106.098
1642377,0022400329,2024-12-05,1610612763,1610612758,2024-25,1,10.8,13.3,3.492849839314596,5.578729445153459,12.136363636363637,4.2,3.5,1.7888543819998317,1.649915822768611,3.3636363636363638,2.0,2.1,1.0000000000000004,1.66332999331662,1.8636363636363635,2.2,2.4,0.8366600265340756,1.4298407059684817,2.0,21.856,24.285000000000004,25.189999999999998,11.923076923076923,12.75,3.3076923076923075,3.5,1.6923076923076923,2.125,115.5,40.4,25.3,15.3,1.0,0,1,22,0,106.30199999999999
